es_lemma,es_form,upos,features,lse_gloss,notes
# ======== MARCADORES / META ========
pasado,pasado,NOUN,,PASADO,marcador de tiempo (insertado por reglas)
futuro,futuro,NOUN,,FUTURO,marcador de tiempo (insertado por reglas)
ojalá,ojalá,INTJ,,OJALA,subjuntivo (insertado o detectado)
deber,debe,VERB,Mood=Imp,DEBE,imperativo (insertado al final)

# ======== NEGACIÓN ========
no,no,PART,Polarity=Neg,NO,negación
ni,ni,CCONJ,,NI,negación/adición negativa
tampoco,tampoco,ADV,,TAMPOCO,negación
nunca,nunca,ADV,,NUNCA,negación

# ======== WH / INTERROGATIVAS (también las añade el motor al final) ========
qué,qué,PRON,Int=Yes,QUE,WH
quien,quién,PRON,Int=Yes,QUIEN,WH
quien,quien,PRON,Int=Yes,QUIEN,WH
cómo,cómo,ADV,Int=Yes,COMO,WH
como,como,ADV,Int=Yes,COMO,WH
dónde,dónde,ADV,Int=Yes,DONDE,WH
donde,donde,ADV,Int=Yes,DONDE,WH
cuándo,cuándo,ADV,Int=Yes,CUANDO,WH
cuando,cuando,ADV,Int=Yes,CUANDO,WH
porque,porque,SCONJ,,PORQUE,conector causal/WH

# ======== PRONOMBRES PERSONALES (sujeto) ========
yo,yo,PRON,Person=1|Number=Sing,YO,
tú,tú,PRON,Person=2|Number=Sing,TU,
usted,usted,PRON,Person=2|Number=Sing,USTED,
él,él,PRON,Person=3|Gender=Masc,EL,
ella,ella,PRON,Person=3|Gender=Fem,ELLA,
nosotros,nosotros,PRON,Person=1|Number=Plur,NOSOTROS,
nosotras,nosotras,PRON,Person=1|Number=Plur,NOSOTROS,inclusivo
vosotros,vosotros,PRON,Person=2|Number=Plur,VOSOTROS,
vosotras,vosotras,PRON,Person=2|Number=Plur,VOSOTROS,inclusivo
ellos,ellos,PRON,Person=3|Number=Plur,ELLOS,
ellas,ellas,PRON,Person=3|Number=Plur,ELLAS,

# Clíticos (vacíos para no duplicar: los maneja rules/clitics.yml)
me,me,PRON,Clitic=Yes,,
te,te,PRON,Clitic=Yes,,
se,se,PRON,Clitic=Yes,,
nos,nos,PRON,Clitic=Yes,,
os,os,PRON,Clitic=Yes,,
le,le,PRON,Clitic=Yes,,
les,les,PRON,Clitic=Yes,,
lo,lo,PRON,Clitic=Yes,,
la,la,PRON,Clitic=Yes,,
los,los,PRON,Clitic=Yes,,
las,las,PRON,Clitic=Yes,,

# ======== POSESIVOS (DET) – OJO con drop.other_determiners ========
mi,mi,DET,Poss=Yes,MI,conservar para 'CASA MI'
mis,mis,DET,Poss=Yes,MI,
tu,tu,DET,Poss=Yes,TU,
tus,tus,DET,Poss=Yes,TU,
su,su,DET,Poss=Yes,SU,
sus,sus,DET,Poss=Yes,SU,
nuestro,nuestro,DET,Poss=Yes,NUESTRO,
nuestra,nuestra,DET,Poss=Yes,NUESTRO,
nuestros,nuestros,DET,Poss=Yes,NUESTRO,
nuestras,nuestras,DET,Poss=Yes,NUESTRO,
vuestro,vuestro,DET,Poss=Yes,VUESTRO,
vuestra,vuestra,DET,Poss=Yes,VUESTRO,
vuestros,vuestros,DET,Poss=Yes,VUESTRO,
vuestras,vuestras,DET,Poss=Yes,VUESTRO,

# ======== DEMOSTRATIVOS (normalmente prescindibles en MVP) ========
este,este,DET,,,
esta,esta,DET,,,
estos,estos,DET,,,
estas,estas,DET,,,
ese,ese,DET,,,
esa,esa,DET,,,
esos,esos,DET,,,
esas,esas,DET,,,
aquel,aquel,DET,,,
aquella,aquella,DET,,,
aquellos,aquellos,DET,,,
aquellas,aquellas,DET,,,

# ======== AUXILIARES / CÓPULAS (las reglas ya los eliminan) ========
ser,ser,VERB,,,(DROP_COPULA)
estar,estar,VERB,,,(DROP_COPULA)
haber,haber,VERB,Aux=Yes,,(DROP_AUX)

# ======== ADVERBIOS DE TIEMPO ========
ayer,ayer,ADV,Temp=Past,AYER,
hoy,hoy,ADV,Temp=Pres,HOY,
mañana,mañana,ADV,Temp=Fut,MAÑANA,
ahora,ahora,ADV,,AHORA,
luego,luego,ADV,,LUEGO,
después,después,ADV,,DESPUES,
pronto,pronto,ADV,,PRONTO,
anoche,anoche,ADV,,ANOCHE,
siempre,siempre,ADV,,SIEMPRE,
a veces,a veces,ADV,,A_VECES,locución (si tokeniza junto)

# ======== PREPOSICIONES (vaciar para no glosar) ========
en,en,ADP,,,
a,a,ADP,,,
de,de,ADP,,,
con,con,ADP,,,
para,para,ADP,,,
por,por,ADP,,,
sin,sin,ADP,,,
sobre,sobre,ADP,,,
entre,entre,ADP,,,
desde,desde,ADP,,,
hasta,hasta,ADP,,,

# ======== CONECTORES (elige cuáles conservar) ========
y,y,CCONJ,,,
o,o,CCONJ,,,
pero,pero,CCONJ,,PERO,si quieres mantener contraste
porque,porque,SCONJ,,PORQUE,opcional como glosa

# ======== VERBOS (lemma → glosa infinitivo) ========
ir,ir,VERB,,IR,
venir,venir,VERB,,VENIR,
llegar,llegar,VERB,,LLEGAR,
salir,salir,VERB,,SALIR,
entrar,entrar,VERB,,ENTRAR,
llevar,llevar,VERB,,LLEVAR,
traer,traer,VERB,,TRAER,
comprar,comprar,VERB,,COMPRAR,
vender,vender,VERB,,VENDER,
querer,querer,VERB,,QUERER,
poder,poder,VERB,,PODER,
deber,deber,VERB,,DEBER,verbo léxico (distinto de DEBE marcador)
tener,tener,VERB,,TENER,
hacer,hacer,VERB,,HACER,
decir,decir,VERB,,DECIR,
ver,ver,VERB,,VER,
vivir,vivir,VERB,,VIVIR,
comer,comer,VERB,,COMER,
beber,beber,VERB,,BEBER,
dormir,dormir,VERB,,DORMIR,
estudiar,estudiar,VERB,,ESTUDIAR,
trabajar,trabajar,VERB,,TRABAJAR,
llamar,llamar,VERB,,LLAMAR,
hablar,hablar,VERB,,HABLAR,
pensar,pensar,VERB,,PENSAR,
saber,saber,VERB,,SABER,
conocer,conocer,VERB,,CONOCER,
poner,poner,VERB,,PONER,
tomar,tomar,VERB,,TOMAR,
necesitar,necesitar,VERB,,NECESITAR,
usar,usar,VERB,,USAR,
buscar,buscar,VERB,,BUSCAR,
encontrar,encontrar,VERB,,ENCONTRAR,
escribir,escribir,VERB,,ESCRIBIR,
leer,leer,VERB,,LEER,
abrir,abrir,VERB,,ABRIR,
cerrar,cerrar,VERB,,CERRAR,
empezar,empezar,VERB,,EMPEZAR,
comenzar,comenzar,VERB,,COMENZAR,
terminar,terminar,VERB,,TERMINAR,
ayudar,ayudar,VERB,,AYUDAR,
jugar,jugar,VERB,,JUGAR,
sentir,sentir,VERB,,SENTIR,
gustar,gustar,VERB,,GUSTAR,
pagar,pagar,VERB,,PAGAR,
cobrar,cobrar,VERB,,COBRAR,
viajar,viajar,VERB,,VIAJAR,
esperar,esperar,VERB,,ESPERAR,
olvidar,olvidar,VERB,,OLVIDAR,
recordar,recordar,VERB,,RECORDAR,
enseñar,enseñar,VERB,,ENSEÑAR,
aprender,aprender,VERB,,APRENDER,
caminar,caminar,VERB,,CAMINAR,
correr,correr,VERB,,CORRER,
volver,volver,VERB,,VOLVER,
quedar,quedar,VERB,,QUEDAR,
encantar,encantar,VERB,,ENCANTAR,
permitir,permitir,VERB,,PERMITIR,
prohibir,prohibir,VERB,,PROHIBIR,
aceptar,aceptar,VERB,,ACEPTAR,
rechazar,rechazar,VERB,,RECHAZAR,

# ======== SUSTANTIVOS COMUNES ========
libro,libro,NOUN,,LIBRO,
película,película,NOUN,,PELICULA,
café,café,NOUN,,CAFE,
agua,agua,NOUN,,AGUA,
comida,comida,NOUN,,COMIDA,
coche,coche,NOUN,,COCHE,
casa,casa,NOUN,,CASA,
escuela,escuela,NOUN,,ESCUELA,
colegio,colegio,NOUN,,COLEGIO,
universidad,universidad,NOUN,,UNIVERSIDAD,
trabajo,trabajo,NOUN,,TRABAJO,
oficina,oficina,NOUN,,OFICINA,
tienda,tienda,NOUN,,TIENDA,
supermercado,supermercado,NOUN,,SUPERMERCADO,
hospital,hospital,NOUN,,HOSPITAL,
parque,parque,NOUN,,PARQUE,
calle,calle,NOUN,,CALLE,
ciudad,ciudad,NOUN,,CIUDAD,
niño,niño,NOUN,,NIÑO,
niña,niña,NOUN,,NIÑA,
hombre,hombre,NOUN,,HOMBRE,
mujer,mujer,NOUN,,MUJER,
persona,persona,NOUN,,PERSONA,
amigo,amigo,NOUN,,AMIGO,
amiga,amiga,NOUN,,AMIGA,
familia,familia,NOUN,,FAMILIA,
profesor,profesor,NOUN,,PROFESOR,
profesora,profesora,NOUN,,PROFESORA,
estudiante,estudiante,NOUN,,ESTUDIANTE,
teléfono,teléfono,NOUN,,TELEFONO,
móvil,móvil,NOUN,,MOVIL,
ordenador,ordenador,NOUN,,ORDENADOR,
computadora,computadora,NOUN,,COMPUTADORA,
correo,correo,NOUN,,CORREO,
carta,carta,NOUN,,CARTA,
pelota,pelota,NOUN,,PELOTA,
perro,perro,NOUN,,PERRO,
gato,gato,NOUN,,GATO,
libreta,libreta,NOUN,,LIBRETA,
mesa,mesa,NOUN,,MESA,
silla,silla,NOUN,,SILLA,
puerta,puerta,NOUN,,PUERTA,
ventana,ventana,NOUN,,VENTANA,
dinero,dinero,NOUN,,DINERO,
tiempo,tiempo,NOUN,,TIEMPO,
hora,hora,NOUN,,HORA,

# ======== ADJETIVOS / ADVERBIOS DE MODO ========
grande,grande,ADJ,,GRANDE,
pequeño,pequeño,ADJ,,PEQUEÑO,
rojo,rojo,ADJ,,ROJO,
azul,azul,ADJ,,AZUL,
verde,verde,ADJ,,VERDE,
amarillo,amarillo,ADJ,,AMARILLO,
negro,negro,ADJ,,NEGRO,
blanco,blanco,ADJ,,BLANCO,
bonito,bonito,ADJ,,BONITO,
feo,feo,ADJ,,FEO,
bueno,bueno,ADJ,,BUENO,
malo,malo,ADJ,,MALO,
nuevo,nuevo,ADJ,,NUEVO,
viejo,viejo,ADJ,,VIEJO,
caro,caro,ADJ,,CARO,
barato,barato,ADJ,,BARATO,
fácil,fácil,ADJ,,FACIL,
difícil,difícil,ADJ,,DIFICIL,
rápido,rápido,ADJ,,RAPIDO,
lento,lento,ADJ,,LENTO,
caliente,caliente,ADJ,,CALIENTE,
frío,frío,ADJ,,FRIO,
feliz,feliz,ADJ,,FELIZ,
triste,triste,ADJ,,TRISTE,
enfermo,enfermo,ADJ,,ENFERMO,
cansado,cansado,ADJ,,CANSADO,
bien,bien,ADV,,BIEN,
mal,mal,ADV,,MAL,
rápidamente,rápidamente,ADV,,RAPIDO,
lentamente,lentamente,ADV,,LENTO,
cerca,cerca,ADV,,CERCA,
lejos,lejos,ADV,,LEJOS,

# ======== NÚMEROS (básicos) ========
uno,uno,NUM,,UNO,
dos,dos,NUM,,DOS,
tres,tres,NUM,,TRES,
cuatro,cuatro,NUM,,CUATRO,
cinco,cinco,NUM,,CINCO,
seis,seis,NUM,,SEIS,
siete,siete,NUM,,SIETE,
ocho,ocho,NUM,,OCHO,
nueve,nueve,NUM,,NUEVE,
diez,diez,NUM,,DIEZ,
veinte,veinte,NUM,,VEINTE,
treinta,treinta,NUM,,TREINTA,
cien,cien,NUM,,CIEN,
0,0,NUM,,0,
1,1,NUM,,1,
2,2,NUM,,2,
3,3,NUM,,3,
4,4,NUM,,4,
5,5,NUM,,5,
6,6,NUM,,6,
7,7,NUM,,7,
8,8,NUM,,8,
9,9,NUM,,9,
10,10,NUM,,10,
11,11,NUM,,11,
12,12,NUM,,12,
13,13,NUM,,13,
14,14,NUM,,14,
15,15,NUM,,15,
16,16,NUM,,16,
17,17,NUM,,17,
18,18,NUM,,18,
19,19,NUM,,19,
20,20,NUM,,20
